x y z
-0.102 0.651 10.119
-0.332 0.620 10.189
-0.381 0.172 10.111
-0.450 0.267 10.293
-0.412 0.330 10.144
-0.215 0.290 10.105
-0.245 0.478 9.900
-0.227 0.322 9.828
-0.238 0.459 9.848
-0.223 0.482 9.745
-0.246 0.555 9.992
-0.381 0.640 9.797
-0.429 0.647 10.054
-0.318 0.872 10.131
-0.098 0.860 10.215
-0.141 0.869 10.320
-0.157 0.617 10.146
-0.404 0.531 10.455
-0.525 0.343 10.184
-0.450 0.306 10.351
-0.261 0.228 10.096
-0.190 0.231 10.204
-0.252 0.446 10.091
-0.266 0.396 9.832
-0.196 0.501 10.090
-0.141 0.581 9.889
-0.330 0.807 10.077
-0.454 0.773 9.827
-0.402 0.623 10.041
-0.323 0.872 10.223
-0.166 0.785 10.000
-0.163 0.706 10.402
-0.221 0.425 10.217
-0.412 0.291 10.304
-0.461 0.351 10.105
-0.416 0.225 10.165
-0.299 0.358 10.115
-0.146 0.358 9.858
-0.108 0.494 9.803
-0.169 0.539 9.636
-0.214 0.538 9.972
-0.420 0.573 9.665
-0.425 0.536 9.806
-0.409 0.869 9.907
-0.121 0.824 10.053
-0.234 0.997 10.132
-0.167 0.760 10.009
-0.279 0.744 10.265
-0.281 0.496 10.126
-0.446 0.360 10.314
-0.496 0.301 10.157
-0.315 0.146 10.080
-0.230 0.464 10.226
-0.013 0.370 9.869
-0.232 0.536 10.062
-0.322 0.418 9.825
-0.353 0.650 10.064
-0.273 0.739 10.003
-0.287 0.612 9.942
-0.436 0.849 10.183
-0.260 0.738 10.149
-0.201 0.884 10.228
-0.181 0.567 10.150
-0.375 0.492 10.217
-0.433 0.287 10.202
-0.403 0.107 10.184
-0.335 0.312 10.282
-0.251 0.224 10.071
-0.260 0.526 10.086
-0.123 0.455 9.817
-0.146 0.520 9.979
-0.277 0.555 9.801
-0.463 0.429 9.879
-0.468 0.553 9.911
-0.195 0.749 9.960
-0.118 0.977 10.269
-0.158 0.970 10.035
-0.251 0.746 10.335
-0.354 0.581 10.014
-0.375 0.411 10.211
-0.407 0.284 10.141
-0.357 0.178 10.102
-0.407 0.371 10.236
-0.170 0.371 9.979
