A_X[LSB] A_Y[LSB] A_Z[LSB]
-534 1055 16738
-524 962 16466
-599 985 16410
-739 1470 16908
-516 1380 16655
-424 1725 17009
-205 1107 16818
-354 1180 17061
-592 877 16996
-633 381 17059
-739 514 17022
-404 333 16977
-394 752 16834
-330 746 16494
-451 741 16735
-443 715 16382
-366 824 16604
-647 1154 16608
-709 1034 16926
-779 1248 17033
-349 1248 16909
-141 1526 17320
-277 1290 17142
-636 793 17465
-830 586 16986
-675 300 17180
-741 770 17365
-432 324 17124
-432 592 16996
-340 658 16503
-277 916 16983
-338 1006 16624
-204 721 16440
-677 1304 16657
-650 1220 16904
-735 1607 17113
-355 1422 16967
-250 1110 16871
-323 1056 16858
-318 522 17176
-784 718 17062
-738 276 16919
-718 678 17140
-425 495 16789
-198 783 16745
-242 925 16178
-371 864 16570
-681 926 16241
-721 892 16522
-783 1265 16589
-518 1420 16411
-346 1534 17009
-209 1294 16853
-426 1365 17278
-550 960 16928
-564 552 16950
-807 520 17312
-649 305 17027
-454 685 17173
-240 771 16729
-270 822 16901
-448 910 16672
-428 765 16642
-697 1279 16745
-522 955 16662
-653 1352 17046
-376 1274 16911
-274 1409 17195
-307 1357 17053
-377 670 17135
-709 639 17032
-612 160 17139
-626 469 17217
-503 406 16843
-324 494 16999
-378 859 16495
-207 819 16691
-386 1037 16344
-649 700 16548
-911 977 16853
-711 1017 16740
-271 1498 17160
-194 1675 16747
-345 1301 17359
-708 1063 16762
-595 650 17110
-711 880 17217
-576 363 16905
-627 432 17222
-480 613 16779
-295 865 16909
-280 1026 16543
-184 628 16355
-536 969 16674
-570 973 16535
-750 1434 16874
-543 1396 16700
-332 1324 17045
-346 1617 16885
-217 1048 16966
-552 906 17067
-587 311 16928
-708 481 17032
-571 465 16919
-448 685 17168
-371 747 16605
-311 678 16587
-359 801 16401
-378 774 16673
-538 991 16812
-667 985 16416
-715 1252 17070
-393 1326 17058
-252 1527 17356
-250 1351 17192
-273 904 16922
-657 763 17614
-807 414 17203
-864 652 17392
-349 364 17023
-416 647 16966
-437 667 16876
-454 709 16454
-279 908 16779
-225 829 16534
-700 1314 16801
-648 1151 16936
-743 1220 16733
-421 1360 17044
-163 1088 16785
-314 1140 17149
-299 519 17100
-808 844 17304
-681 403 16890
-672 464 17260
-426 515 16781
-221 815 16739
-227 958 16277
-309 694 16370
-567 899 16755
-740 992 16412
-710 1152 16586
-551 1340 16489
-300 1569 17099
-261 1369 16869
-273 1152 16766
-459 1213 17184
-530 640 16889
-863 540 17308
-795 381 16956
-473 650 17241
-294 786 16963
-31 585 16568
-510 930 16774
-526 726 16583
-571 1269 16886
-484 962 16543
-620 1114 16961
-625 1330 17140
-328 1415 17121
-259 1445 17183
-317 707 17007
-747 672 17312
-729 456 17073
-620 457 17146
-408 369 16945
-360 518 17078
-444 788 16614
-165 783 16629
-236 1058 16761
-302 703 16570
-953 943 16772
-763 990 16760
-255 1460 16995
-161 1761 16766
-112 1334 16775
-612 1399 17305
-623 747 16978
-729 876 17310
-581 346 16817
-696 488 17244
-682 715 16985
